OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,WHITE_CY,BLACK_CY,AMERIND_CY,ASIAN_CY,PACIFIC_CY,OTHRACE_CY,RACE2UP_CY,HISPPOP_CY,MINORITYCY,WHITE10,BLACK10,AMERIND10,ASIAN10,PACIFIC10,OTHRACE10,RACE2UP10,HISPPOP10,MINORITY10,DIVINDX10,HISPWHT_CY,HISPBLK_CY,HISPAI_CY,HISPASN_CY,HISPPI_CY,HISPOTH_CY,HISPMLT_CY,HWHITE10,HBLACK10,HAMERIND10,HASIAN10,HPACIFIC10,HOTHRACE10,HRACE2UP10,HRACEBAS10,H1RACE10,HADRBASE10,HAD1RACE10,U18RBASE10,NONHISP_CY,NHSPWHT_CY,NHSPBLK_CY,NHSPAI_CY,NHSPASN_CY,NHSPPI_CY,NHSPOTH_CY,NHSPMLT_CY,RACEBASECY,WHTNHISP10,RACEBASE10,POP1RACE10,ADRACBAS10,AD1RACE10,DIVINDX_CY
56,Julia Keen,5,NEIGHBORHOODS,25,US,56,BlockApportionment:US.BlockGroups,2.191,2.576,1,3447,204,161,92,2,1319,206,3763,4141,3495,196,151,80,2,1169,188,3404,3758,76.2,2158,43,98,11,1,1317,135,1971,40,90,10,1,1168,124,3404,3280,2372,2299,1313,1666,1289,161,62,81,1,2,71,5431,1524,5281,5093,3969,3863,76.7
57,Keeling,3,NEIGHBORHOODS,26,US,57,BlockApportionment:US.BlockGroups,2.191,2.576,1,2646,320,245,185,6,1133,228,2780,3497,2777,312,234,163,6,1005,212,2515,3195,82.1,1380,37,108,6,0,1127,122,1264,34,100,6,0,999,113,2516,2402,1629,1563,1223,1983,1266,283,137,179,6,6,106,4763,1513,4709,4497,3485,3356,83.7
58,La Madera,3,NEIGHBORHOODS,27,US,58,BlockApportionment:US.BlockGroups,2.191,2.576,1,847,37,17,30,2,76,54,225,341,878,32,14,24,2,62,45,182,280,50.6,124,2,7,0,0,69,23,101,1,5,0,0,55,19,181,163,127,118,163,840,723,35,11,30,2,7,31,1063,777,1057,1012,894,866,57.7
59,Lakeside Park,4,NEIGHBORHOODS,28,US,59,BlockApportionment:US.BlockGroups,2.191,2.576,1,3969,408,103,207,4,625,331,1976,2762,3979,360,88,164,4,502,275,1619,2292,67.9,1084,56,61,6,0,617,152,899,44,51,5,0,494,126,1619,1493,986,945,1414,3671,2885,352,42,201,4,8,179,5647,3080,5372,5097,3958,3835,72.7
60,Las Vistas,5,NEIGHBORHOODS,29,US,60,BlockApportionment:US.BlockGroups,2.191,2.576,1,1600,250,131,43,1,1040,190,2647,3020,1626,258,130,39,1,973,186,2538,2915,82.3,1364,14,70,2,0,1036,160,1328,14,67,2,0,969,158,2538,2380,1593,1504,1134,609,236,236,61,41,1,4,29,3255,298,3213,3027,2079,1980,82.6
61,Limberlost,3,NEIGHBORHOODS,0,US,61,BlockApportionment:US.BlockGroups,2.191,2.576,1,2422,187,150,208,12,621,199,1659,2190,2399,162,129,165,10,494,164,1344,1789,75.2,813,33,51,11,4,621,126,665,27,42,9,3,494,104,1344,1240,881,828,767,2140,1609,154,99,197,8,0,73,3799,1734,3523,3359,2756,2672,79
62,Garden District,6,NEIGHBORHOODS,1,US,62,BlockApportionment:US.BlockGroups,2.191,2.576,1,4551,444,192,267,12,819,356,2247,3213,4775,395,167,217,12,681,307,1905,2743,68.5,1122,37,91,13,0,812,171,964,30,77,12,0,674,148,1905,1757,1242,1158,1466,4394,3428,407,101,254,12,8,185,6641,3812,6554,6247,5089,4915,73.7
63,Midvale Park,1,NEIGHBORHOODS,2,US,63,BlockApportionment:US.BlockGroups,2.191,2.576,1,7464,546,702,178,26,5036,614,11553,12774,7268,518,663,155,25,4443,563,10369,11523,81.7,5674,123,246,24,8,5027,452,5156,110,224,22,7,4433,416,10368,9953,6493,6271,4565,3012,1791,423,456,154,18,9,161,14566,2112,13635,13072,9070,8766,82.1
64,Miracle Manor,3,NEIGHBORHOODS,3,US,64,BlockApportionment:US.BlockGroups,2.191,2.576,1,2279,129,180,110,24,649,167,2293,2678,2106,111,162,88,19,532,139,1901,2229,76.6,1419,27,70,7,5,647,118,1178,22,61,6,5,530,99,1901,1802,1260,1198,820,1245,860,102,110,103,19,2,49,3538,928,3157,3018,2337,2249,77.2
65,Miramonte,6,NEIGHBORHOODS,4,US,65,BlockApportionment:US.BlockGroups,2.191,2.576,1,2454,239,115,179,10,341,230,971,1594,2565,212,102,143,9,279,195,807,1344,65,480,20,28,9,1,332,100,403,16,24,8,1,269,86,807,721,578,534,536,2597,1973,218,87,170,9,10,130,3568,2162,3505,3310,2970,2844,70.9
66,Mitman,6,NEIGHBORHOODS,5,US,66,BlockApportionment:US.BlockGroups,2.191,2.576,1,975,65,23,45,2,110,55,346,496,961,56,20,33,1,86,44,275,397,58.4,196,7,11,1,0,109,23,157,6,9,0,0,84,18,274,256,196,185,204,928,778,58,12,44,2,1,33,1275,804,1201,1157,997,973,64.4
67,Mortimore,5,NEIGHBORHOODS,6,US,67,BlockApportionment:US.BlockGroups,2.191,2.576,1,703,117,41,39,2,302,68,879,1057,705,114,39,35,2,269,63,799,970,81.5,488,11,28,0,0,300,51,447,10,27,0,0,267,48,799,751,486,465,418,393,215,106,13,39,2,2,17,1272,258,1227,1164,810,782,81.9
68,Mountain First Avenue,3,NEIGHBORHOODS,7,US,68,BlockApportionment:US.BlockGroups,2.191,2.576,1,1028,46,45,87,2,111,53,380,570,1077,42,40,70,2,91,45,318,481,59.8,227,4,18,2,0,109,20,191,3,16,2,0,89,17,318,301,257,245,143,992,802,43,26,85,2,2,33,1372,885,1367,1322,1223,1190,66
69,Mountain View,3,NEIGHBORHOODS,8,US,69,BlockApportionment:US.BlockGroups,2.191,2.576,1,965,84,51,51,3,236,82,632,815,938,71,42,39,3,183,67,501,653,73.8,308,15,28,1,1,235,44,247,12,22,1,1,182,36,501,465,324,307,316,841,657,69,24,50,2,1,38,1472,691,1343,1276,1028,990,77.8
70,Myers,5,NEIGHBORHOODS,9,US,70,BlockApportionment:US.BlockGroups,2.191,2.576,1,2631,551,140,174,18,1384,349,2852,3774,2799,544,134,149,18,1239,321,2586,3469,84.9,1157,47,45,6,3,1379,213,1065,44,40,5,3,1234,194,2585,2392,1626,1530,1561,2396,1474,504,95,167,15,5,135,5247,1734,5204,4883,3642,3491,86.7
71,Naylor,5,NEIGHBORHOODS,10,US,71,BlockApportionment:US.BlockGroups,2.191,2.576,1,581,85,47,46,0,273,82,636,811,604,81,44,39,0,237,74,563,724,83.9,278,2,20,0,0,273,63,249,2,18,0,0,237,57,563,506,364,335,306,478,303,83,27,46,0,0,19,1114,355,1079,1005,773,736,85.7
72,North Dodge,3,NEIGHBORHOODS,11,US,72,BlockApportionment:US.BlockGroups,2.191,2.576,1,1358,213,110,26,13,343,172,828,1234,1384,188,97,21,12,280,146,684,1039,75.6,357,13,25,1,9,341,83,296,11,21,1,8,277,71,685,613,460,423,444,1407,1001,200,85,25,4,3,89,2235,1087,2128,1982,1682,1594,79.7
73,North University,6,NEIGHBORHOODS,12,US,73,BlockApportionment:US.BlockGroups,2.191,2.576,1,1443,32,27,347,0,112,71,322,776,1573,29,25,286,0,94,62,273,657,53.9,188,2,7,2,0,105,18,161,2,6,2,0,87,15,273,258,245,233,95,1710,1255,30,20,345,0,6,53,2032,1411,2069,2007,1973,1918,60.9
74,Oak Flower,3,NEIGHBORHOODS,13,US,74,BlockApportionment:US.BlockGroups,2.191,2.576,1,1677,206,94,98,13,249,141,761,1234,1654,175,81,76,11,194,115,604,998,67.9,433,16,20,0,0,242,50,347,13,16,0,0,187,41,604,563,424,407,419,1717,1244,190,74,98,13,7,91,2478,1307,2306,2191,1886,1820,73.1
75,Old Fort Lowell,2,NEIGHBORHOODS,14,US,75,BlockApportionment:US.BlockGroups,2.191,2.576,1,1806,74,22,123,1,137,77,452,732,1876,64,21,99,1,113,64,372,607,49,297,6,3,1,0,124,21,246,5,3,1,0,100,18,373,354,276,264,323,1788,1508,69,20,122,1,13,56,2240,1630,2238,2174,1914,1876,55.7
76,Palo Verde,6,NEIGHBORHOODS,15,US,76,BlockApportionment:US.BlockGroups,2.191,2.576,1,3965,335,192,252,45,542,271,1490,2384,4129,299,168,201,39,442,230,1239,2008,63.1,748,33,65,3,4,535,102,629,28,55,3,3,434,88,1240,1152,852,807,1044,4112,3217,302,127,249,41,7,169,5602,3500,5508,5278,4464,4331,69
77,Panorama Estates,1,NEIGHBORHOODS,16,US,77,BlockApportionment:US.BlockGroups,2.191,2.576,1,67,1,3,2,0,21,4,63,70,69,1,3,1,0,19,4,57,64,74.5,38,0,1,0,0,21,3,35,0,1,0,0,18,2,56,55,44,42,17,35,28,1,2,2,0,0,2,98,34,97,93,81,77,74.6
78,Westside Development,1,NEIGHBORHOODS,17,US,78,BlockApportionment:US.BlockGroups,2.191,2.576,1,2842,184,197,61,11,1283,220,3231,3620,2871,177,189,54,11,1133,202,2895,3269,79.5,1664,25,75,18,1,1275,173,1503,22,69,17,1,1124,159,2895,2736,1978,1887,1170,1568,1178,160,122,43,10,8,47,4798,1368,4637,4435,3467,3349,80.2
79,Parkway Terrace,5,NEIGHBORHOODS,18,US,79,BlockApportionment:US.BlockGroups,2.191,2.576,1,119,13,8,3,3,57,15,152,181,121,13,8,3,3,52,14,140,167,82,81,1,3,1,0,57,10,75,1,3,1,0,51,9,140,131,102,96,50,66,38,12,6,2,3,1,5,218,46,214,200,163,154,82.5
80,Peter Howell,6,NEIGHBORHOODS,19,US,80,BlockApportionment:US.BlockGroups,2.191,2.576,1,1527,61,29,54,1,107,81,440,619,1528,53,23,41,1,84,66,351,497,50.3,285,6,16,1,0,107,27,228,5,12,1,0,84,22,352,329,225,215,327,1421,1242,55,13,53,1,1,55,1860,1300,1796,1730,1470,1430,56.8
81,Pie Allen,6,NEIGHBORHOODS,20,US,81,BlockApportionment:US.BlockGroups,2.191,2.576,1,550,19,8,66,0,37,38,140,255,555,16,7,50,0,29,30,112,204,52.4,87,2,2,1,0,36,12,70,1,1,1,0,28,10,111,102,104,96,26,578,463,17,6,64,0,1,26,718,485,687,657,663,636,59.1
82,Poets Square,6,NEIGHBORHOODS,21,US,82,BlockApportionment:US.BlockGroups,2.191,2.576,1,902,28,18,28,2,68,68,346,439,938,25,16,23,2,56,59,292,373,56.7,226,2,12,2,1,66,38,192,2,10,2,1,54,32,293,260,195,182,222,768,675,25,6,27,1,2,31,1114,745,1119,1060,896,872,62.4
83,RillitoBend,3,NEIGHBORHOODS,22,US,83,BlockApportionment:US.BlockGroups,2.191,2.576,1,1351,41,21,87,0,130,93,337,535,1387,35,19,67,0,102,76,270,430,50.4,162,1,2,1,0,129,41,131,1,2,1,0,101,34,270,236,204,187,199,1386,1188,40,20,86,0,1,52,1723,1256,1686,1610,1487,1444,57.6
84,Pueblo Gardens,5,NEIGHBORHOODS,23,US,84,BlockApportionment:US.BlockGroups,2.191,2.576,1,1233,166,92,73,1,846,161,1984,2285,1229,163,89,65,1,762,151,1822,2112,84.2,947,20,40,2,0,842,134,882,19,38,2,0,757,125,1823,1697,1181,1115,788,587,286,146,51,72,1,4,27,2572,347,2460,2309,1671,1591,84.7
85,Richland Heights East,3,NEIGHBORHOODS,24,US,85,BlockApportionment:US.BlockGroups,2.191,2.576,1,400,43,17,34,0,51,34,155,260,414,37,14,26,0,40,29,127,216,64.2,83,4,6,0,0,51,12,69,3,5,0,0,40,10,127,117,90,84,101,422,317,39,11,33,0,0,22,579,345,560,531,460,442,70.3
